Lon,Lat,Easting,Northing,Height Sea Level,Height Ellipsoid,Total Gravity,Free Air Disturbance,Topo Free Disturbance
21.077,-31.156,2012943.3380172183,-3115074.359977735,1096.9,1097.0,979100.0,22.3391035097884,-84.76669627898028
20.011,-31.593,1911135.7943285361,-3163718.4856334394,1119.4,1119.5,979166.6313948022,60.81642761162948,-63.708325447116906
20.019,-31.689,1911899.8284275127,-3174435.3755259365,1174.7,1174.8,979168.33122842,71.82917391287629,-54.43777628353804
20.019,-31.841,1911899.8284275127,-3191426.7089311844,1357.8,1357.9,979143.9881573572,91.67516197392251,-55.402993360303725
20.019,-31.381,1911899.8284275127,-3140091.42789628,1069.6,1069.7,979154.7232526764,50.60525550006423,-68.21218105488002
20.02,-31.473,1911995.3326898853,-3150338.0403539063,1090.8,1090.9,979156.1314115422,51.15813528711442,-69.79380194675242
20.021,-31.52,1912090.8369522572,-3155576.646728835,1082.8,1082.9,979165.1690068616,53.94482340384275,-65.82979594329727
20.037,-31.973,1913618.905150211,-3206205.2824751623,1280.9,1281.0,979167.9970545212,81.26146609918214,-59.7867735109231
20.043,-31.886,1914191.9307244439,-3196462.455280705,1429.7,1429.8,979133.6776264374,99.89699832512996,-57.03170762567275
20.045,-31.184,1914382.9392491884,-3118184.3177378746,1079.9,1080.0,979138.05920587,52.91344039270189,-66.96401007070754
20.062,-31.742,1916006.5117095143,-3180356.7864128356,1243.6,1243.7,979159.7438011896,80.21372882300057,-49.984633206235145
20.084,-31.512,1918107.605481701,-3154684.7812434435,1080.5,1080.6,979164.7423965088,53.45277800050098,-66.0652834376775
20.085,-31.463,1918203.1097440731,-3149223.786078534,1082.3,1082.4,979158.3810553744,51.58996857213788,-68.0370492982976
20.088,-31.802,1918489.6225311898,-3187064.401131004,1267.1,1267.2,979159.4605712612,82.32675577688497,-54.64098882827071
20.095,-31.139,1919158.1523677944,-3113186.6240405794,1082.9,1083.0,979133.9017777864,53.28144368994981,-66.49341850169328
20.106,-31.615,1920208.699253888,-3166173.4532208727,1241.3,1241.4,979147.3531749503,77.36873359279707,-56.8693238485333
20.112,-31.333,1920781.72482812,-3134749.3929568506,1040.1,1040.2,979157.4843179296,48.11900501360651,-67.68571841495162
20.12,-31.973,1921545.7589270975,-3206205.2824751623,1196.3,1196.4,979185.3168655892,72.48414394864812,-59.692312547767955
20.124,-31.859,1921927.7759765857,-3193440.7096407753,1264.6,1264.7,979164.6974132488,82.1774205698166,-47.8799763085525
20.128,-31.405,1922309.7930260743,-3142763.4788724133,1007.5,1007.6,979154.5582468666,29.353709749877453,-76.28858360475054
20.135,-31.783,1922978.3228626794,-3184939.847793962,1199.6,1199.7,979173.1468580724,76.72803381620906,-56.53282315835128
20.157,-31.107,1925079.416634866,-3109634.1654531383,1033.3,1033.4,979138.6993739592,45.33512078144122,-69.02047665231747
20.158,-31.022,1925174.920897238,-3100203.8118608035,1012.5,1012.6,979130.5409375052,37.54718887305353,-73.93383934407154
20.16,-31.461,1925365.9294219823,-3149000.949644099,1036.7,1036.8,979167.3480804844,46.64998303644825,-68.79115684285085
20.167,-31.664,1926034.459258587,-3171643.4425009657,1221.0,1221.1,979157.4069935348,77.20642996218521,-56.90235432060783
20.188,-31.951,1928040.0487684014,-3203740.6994589353,1171.7,1171.8,979188.56724772,69.93107591592707,-60.16621847158541
20.19,-31.288,1928231.057293146,-3129743.733366991,1019.1,1019.2,979158.767533678,46.53322227613535,-65.99075158505511
20.198,-31.766,1928995.091392123,-3183039.3052389123,1140.0,1140.1,979184.1081691404,70.67849920724984,-54.79559171282884
20.201,-31.415,1929281.6041792394,-3143877.037074728,1026.0,1026.1,979167.0518915524,46.75122741807718,-67.5011826819722
20.206,-31.513,1929759.1254910997,-3154796.260212757,1083.7,1083.8,979164.5628522624,54.17993203958031,-66.43010329631943
20.211,-31.89,1930236.6468029604,-3196910.1973527134,1150.9,1151.0,979187.2125429012,67.10634046734776,-56.33618791272326
20.235,-31.056,1932528.7490998914,-3103974.932175155,993.6,993.7,979137.0166699938,35.47819596726913,-75.26597677191803
20.238,-31.73,1932815.2618870076,-3179015.7902162056,1099.8,1099.9,979184.1558129728,61.235118740354665,-60.10452133582784
20.242,-31.446,1933197.2789364962,-3147329.8295364897,1020.8,1020.9,979169.3160036115,44.91895270289388,-68.88437542104177
20.244,-31.247,1933388.2874612405,-3125185.1214039074,998.7,998.8,979157.8410353846,42.59931361465715,-68.22062516167435
20.251,-31.366,1934056.8172978454,-3138421.746112861,1005.7,1005.8,979166.3815671576,43.75440711877309,-68.18297943697988
20.269,-31.813,1935775.8940205434,-3188294.607296285,1091.3,1091.4,979190.0781465904,57.82215375127271,-61.85001447178554
20.27,-31.305,1935871.3982829156,-3131634.4765413976,1000.3,1000.4,979161.6329643218,42.23524697206449,-69.33717448885201
20.275,-31.171,1936348.919594776,-3116740.293321553,984.6,984.7,979152.4240755276,38.9173817827832,-70.15604445067981
20.281,-31.507,1936921.9451690088,-3154127.404463092,1026.3,1026.4,979174.7141073009,47.105947896139696,-67.01967234886406
20.283,-31.734,1937112.9536937533,-3179462.769461239,1146.9,1147.0,979173.6298773724,64.91600607696455,-62.346231838678946
20.285,-31.648,1937303.9622184976,-3169857.003497258,1082.9,1083.0,979178.4809409186,56.96916351804976,-63.318381069748874
20.286,-31.583,1937399.4664808696,-3162602.7848114218,1040.5,1040.6,979178.8861156708,49.53649429837242,-66.32686153442204
20.295,-31.101,1938259.0048422192,-3108968.214095438,980.0,980.1,979144.2293063096,34.9006074948702,-74.34432571901729
20.298,-31.033,1938545.517629335,-3101423.73139381,966.2,966.3,979137.3108857424,29.1549017354846,-78.5135461191635
20.3,-31.954,1938736.5261540792,-3204076.743861188,1251.1,1251.2,979169.2184651752,74.83226473920513,-58.6695314290981
20.304,-31.367,1939118.5432035676,-3138533.0498591363,1007.4,1007.5,979164.0536558138,41.87067247868981,-70.02008415891032
20.315,-31.879,1940169.0900896613,-3195678.953895721,1184.6,1184.7,979175.9698464526,67.15111903345678,-63.263205844802485
20.321,-31.308,1940742.1156638942,-3131968.1728575462,995.8,995.9,979160.7688782256,39.74220633972436,-71.31233333678334
20.336,-31.439,1942174.6795994756,-3146550.0659404276,1066.4,1066.5,979159.360473545,49.59427939879242,-67.66375552366058
20.348,-31.712,1943320.730747941,-3177004.6246475144,1062.4,1062.5,979185.932084751,52.92799365601968,-64.22478716827091
20.359,-31.521,1944371.2776340346,-3155688.135336264,1080.7,1080.8,979162.160616524,50.20805596071296,-69.05956307753155
20.372,-31.829,1945612.8330448722,-3190084.2621982894,1084.7,1084.8,979191.3326324106,55.74533915077336,-62.865638058557934
20.376,-31.244,1945994.8500943608,-3124851.6429348555,1017.1,1017.2,979151.276013688,41.95133546227589,-70.9008027453152
20.407,-31.885,1948955.4822278966,-3196350.522830608,1106.7,1106.8,979191.8757202134,58.53933566168416,-62.631801786547626
20.414,-31.685,1949624.0120645012,-3173988.615230317,1097.8,1097.9,979174.7902361,54.88806830451358,-65.13689595123462
20.415,-31.176,1949719.5163268733,-3117295.663636622,1005.9,1006.0,979143.246410852,35.91106423980091,-76.12590012178403
20.419,-31.948,1950101.533376362,-3203404.6661362955,1130.4,1130.5,979190.7874743984,59.65407492686063,-63.54158015924334
20.419,-31.439,1950101.533376362,-3146550.0659404276,1048.4,1048.5,979160.3270538312,45.007739008637145,-71.06005857500597
20.42,-31.05,1950197.037638734,-3103309.341516472,974.1,974.2,979131.5840697176,24.508476484566927,-84.04515963925445
20.442,-31.778,1952298.1314109208,-3184380.8280777605,1209.9,1210.0,979159.936133264,67.09915246430319,-64.19756134439925
20.453,-31.247,1953348.6782970137,-3125185.1214039074,1024.4,1024.5,979147.9910780876,40.67818325175904,-73.27313982022697
20.463,-31.828,1954303.7209207353,-3189972.3995922636,1187.2,1187.3,979166.87025284,62.98441617062781,-64.60691158681212
20.469,-31.639,1954876.7464949682,-3168852.26799905,1149.7,1149.8,979159.2293004995,59.051391545683146,-68.38459111342804
20.47,-31.389,1954972.2507573399,-3140982.0349277714,1052.5,1052.6,979154.9873799324,44.951317894971,-71.33523308726238
20.474,-31.996,1955354.2678068287,-3208782.5297767143,1304.9,1305.0,979157.9254117054,76.72591097687837,-64.78198069026803
20.475,-31.126,1955449.7720692006,-3111743.2918323968,1023.9,1024.0,979129.7180705712,31.9351000522729,-82.05933002572348
20.477,-31.06,1955640.780593945,-3104418.6828288008,997.7,997.8,979127.1517378066,26.55881133954972,-84.71100386364657
20.519,-31.972,1959651.9596135737,-3206093.243039008,1243.5,1243.6,979166.9243013528,68.7329743822338,-69.37667908627316
20.525,-31.558,1960224.9851878067,-3159814.061456168,1076.9,1077.0,979162.131333126,46.02615043486003,-72.97285284294091
20.525,-31.339,1960224.9851878067,-3135416.9967696834,1109.5,1109.6,979138.7382144034,50.30161572108045,-72.35292987159865
20.528,-31.611,1960511.497974923,-3165727.0519119035,1095.9,1096.0,979165.2858573823,50.76968024089001,-69.57218570159871
20.535,-31.801,1961180.0278115282,-3186952.571540046,1160.9,1161.0,979167.9390003616,58.12537294079084,-68.9441875544185
20.545,-31.073,1962135.0704352495,-3105861.00260484,985.8,985.9,979126.0466115674,20.7441718649352,-89.2386576590471
20.556,-31.024,1963185.6173213427,-3100425.6048310483,994.3,994.4,979118.372302206,19.603952802019197,-90.77533496207062
20.556,-31.716,1963185.6173213427,-3177451.5162540004,1172.6,1172.7,979161.5630563912,62.23204056324903,-68.17091984578627
20.56,-31.871,1963567.634370831,-3194783.597340677,1157.9,1158.0,979172.3475881644,55.94046706345398,-71.64163457843149
20.573,-31.171,1964809.1897816686,-3116740.293321553,1023.2,1023.3,979132.014167597,30.41620276507456,-82.06929775572225
20.581,-31.241,1965573.2238806456,-3124518.17516252,1048.2,1048.3,979135.2878900088,35.79827468970325,-81.1909381634752
20.584,-31.105,1965859.736667762,-3109412.176946138,985.7,985.8,979129.8944376686,22.004657820332795,-87.63419506400137
20.586,-31.982,1966050.7451925061,-3207213.6928665065,1212.6,1212.7,979170.8613348326,62.32632873393595,-70.84021449281718
20.6,-31.471,1967387.804865716,-3150115.1798834773,1096.7,1096.8,979148.1813114294,45.18909571238328,-74.16357251235814
20.605,-31.626,1967865.3261775766,-3167401.156713467,1064.5,1064.6,979171.3184226352,45.90534252941143,-72.33615127702258
20.617,-31.82,1969011.377326042,-3189077.5427874904,1161.7,1161.8,979166.3499544084,55.24533709033858,-73.71187922253085
20.619,-31.096,1969202.3858507862,-3108413.2870833906,1009.1,1009.2,979120.3364861816,20.385187300969847,-91.52295688882111
20.635,-31.106,1970730.4540487402,-3109523.170609452,985.8,985.9,979127.155002068,19.21615945140365,-89.14271190061518
20.656,-31.745,1972736.0435585547,-3180692.0628708303,1143.9,1144.0,979165.17972448,54.65119012759533,-71.84227797077075
20.657,-31.692,1972831.5478209269,-3174770.4585064743,1099.4,1099.5,979169.9223515724,49.94844548508991,-70.55045025360621
20.659,-31.545,1973022.5563456712,-3158364.223562728,1110.3,1110.4,979152.9909151188,48.23701732174959,-73.92008061878771
20.672,-31.999,1974264.1117565085,-3209118.740571338,1288.0,1288.1,979155.6988524258,69.04264175484423,-72.41546851624727
20.685,-31.794,1975505.667167346,-3186169.79861397,1193.4,1193.5,979155.6315430644,56.41016222338658,-74.43190695037922
20.691,-31.121,1976078.692741579,-3111188.2172369007,1009.6,1009.7,979120.5211860436,18.72616239369381,-93.79578204687589
20.701,-31.404,1977033.7353653002,-3142652.129642692,1059.8,1059.9,979146.7653925688,37.77630217315164,-80.09065289670312
20.705,-31.934,1977415.7524147888,-3201836.657079254,1271.0,1271.1,979158.8499720016,72.2248822923284,-67.09910977862441
20.72,-31.334,1978848.3163503706,-3134860.6572741265,1040.7,1040.8,979141.6881308672,32.42767366184853,-83.14487030591832
20.736,-31.872,1980376.3845483246,-3194895.512617766,1220.5,1220.6,979159.7235121448,62.54650609777309,-71.27407654495713
20.737,-31.125,1980471.8888106965,-3111632.2745504314,1020.6,1020.7,979116.156504628,17.435382667230442,-96.32847668114741
20.741,-31.477,1980853.9058601852,-3150783.775721147,1120.1,1120.2,979141.6740522878,45.417986494721845,-78.00723429479912
20.746,-31.37,1981331.4271720457,-3138866.9682731833,1032.6,1032.7,979145.9172111534,31.26784238766413,-83.79714066683034
20.755,-31.994,1982190.9655333948,-3208558.3954161745,1264.9,1265.0,979156.192870019,62.816965164616704,-76.480248781934
20.761,-31.747,1982763.9911076277,-3180915.5866020606,1114.4,1114.5,979163.3610924308,43.570290729636326,-79.91323265430367
20.785,-31.051,1985056.093404559,-3103420.2703498774,1064.7,1064.8,979094.8521877502,15.648207704070956,-103.04613228358573
20.791,-31.404,1985629.1189787914,-3142652.129642692,1079.2,1079.3,979139.6520690277,36.647979289409705,-82.25177204681641
20.798,-31.823,1986297.648815396,-3189413.104914481,1133.9,1134.0,979164.1939820782,44.27046197990421,-81.75674086452646
20.805,-31.151,1986966.178652001,-3114519.108038994,1093.4,1093.5,979101.051029738,22.710304289474152,-98.37061460929405
20.806,-31.779,1987061.682914373,-3184492.6295796894,1110.8,1110.9,979163.4671886036,39.97801343363244,-83.68018260092965
20.827,-31.347,1989067.272424188,-3136307.202062173,1037.5,1037.6,979137.9973474692,26.70627262268681,-85.59644440342896
20.83,-31.919,1989353.785211304,-3200156.914902235,1187.2,1187.3,979162.3374511584,51.078359616105445,-81.26372906895804
20.834,-31.208,1989735.8022607926,-3120850.7351926803,1088.3,1088.4,979108.9870147048,24.51151071046479,-95.16711609257503
20.845,-31.058,1990786.3491468856,-3104196.8051468777,1108.2,1108.3,979085.840007188,19.49712112499401,-101.3628669700263
20.848,-31.609,1991072.8619340023,-3165503.8585203127,1152.7,1152.8,979140.4719678984,43.6396547408076,-82.49345540999711
20.852,-31.535,1991454.8789834909,-3157249.1023961245,1215.4,1215.5,979125.6755791042,54.149557930300944,-81.01805591730951
20.854,-31.722,1991645.8875082352,-3178121.8901682943,1135.0,1135.1,979153.1834762684,41.76836932322476,-82.8520214393936
20.863,-31.966,1992505.4258695839,-3205421.0322993365,1229.9,1230.0,979156.5193659156,54.61970494978596,-82.13511409183545
20.863,-31.478,1992505.4258695839,-3150895.2125688028,1128.9,1129.0,979136.3626995336,42.74094489403069,-82.08040590558842
20.864,-31.794,1992600.9301319562,-3186169.79861397,1122.2,1122.3,979161.2508826556,40.06503473315388,-84.01314019954701
20.89,-31.276,1995084.0409536313,-3128409.2984005916,1130.8,1130.9,979105.2275574076,28.415382504230365,-96.45479916082863
20.893,-31.403,1995370.5537407475,-3142540.781611006,1056.1,1056.2,979138.9136686136,28.86345504503697,-88.9418117862054
20.895,-31.195,1995561.562265492,-3119406.340963052,1104.1,1104.2,979101.437629324,22.87721134000458,-99.91781201645541
20.896,-31.844,1995657.0665278642,-3191762.348158418,1131.2,1131.3,979163.496558261,41.03977647959255,-83.55757374549904
20.904,-31.129,1996421.100626841,-3112076.3507678392,1125.1,1125.2,979089.3253283326,22.52335631195456,-103.03432590439647
20.907,-31.67,1996707.6134139576,-3172313.437214107,1138.3,1138.4,979148.3331301772,42.136264169123024,-84.72862057835506
20.923,-31.731,1998235.6816119114,-3179127.5332008754,1209.1,1209.2,979137.29470961,48.01121855492238,-85.18125680849104
20.936,-31.058,1999477.237022749,-3104196.8051468777,1146.6,1146.7,979077.5672254966,23.07070646330249,-102.93873063897799
20.94,-31.81,1999859.2540722375,-3187959.0818554345,1188.9,1189.0,979148.7822731562,46.877925887703896,-85.13992454245096
20.967,-31.809,2002437.8691562847,-3187847.2424868504,1229.8,1229.9,979139.9454161354,50.73892237397376,-85.95389584191227
20.971,-31.499,2002819.8862057733,-3153235.6642295457,1114.0,1114.1,979136.1724955682,36.26414407766424,-83.91837603564056
20.972,-31.38,2002915.3904681455,-3139980.1074029594,1072.3,1072.4,979131.410106774,28.20539236580953,-89.69100776417831
20.979,-31.326,2003583.92030475,-3133970.5761591815,1114.0,1114.1,979112.79721798,26.79210754914675,-94.94712325676214
20.981,-31.003,2003774.9288294946,-3098097.013076581,1131.3,1131.4,979073.6178375558,18.790545917931013,-107.30317817992882
20.985,-31.895,2004156.945878983,-3197469.9025584287,1153.7,1153.8,979161.373298266,41.72561098262668,-84.96007258667261
20.987,-31.945,2004347.954403727,-3203068.6438916167,1182.6,1182.7,979160.2568141528,45.46991337661166,-85.86036129696706
20.992,-31.697,2004825.4757155878,-3175328.954448064,1160.1,1160.2,979143.3044889048,41.65234074636828,-86.36397398900868
20.994,-31.271,2005016.4842403322,-3127853.334430031,1186.3,1186.4,979091.0465365644,31.756548530072905,-100.52978448589923
21.012,-31.984,2006735.5609630304,-3207437.797625618,1256.5,1256.6,979150.5194897582,55.36427879228722,-82.26520692903566
21.017,-31.613,2007213.0822748907,-3165950.250145263,1190.8,1190.9,979128.0135850776,42.61209159367718,-89.46984361024892
21.018,-31.14,2007308.5865372634,-3113297.657869628,1189.0,1189.1,979075.373600964,27.404869441874325,-102.90304361263196
21.018,-31.205,2007308.5865372634,-3120517.39565622,1146.7,1146.8,979090.0937916028,23.874856533366252,-102.501393009323
21.021,-31.554,2007595.099324379,-3159367.935764496,1180.8,1180.9,979126.035498128,42.30529397830833,-89.1156827554891
21.026,-31.673,2008072.62063624,-3172648.450958849,1197.2,1197.3,979131.4332046532,43.16413093847223,-89.30885144287254
21.026,-31.076,2008072.62063624,-3106193.8739077253,1233.9,1234.0,979060.7284111788,31.72560368885752,-105.0424164851625
21.041,-31.837,2009505.184571822,-3190979.2071023053,1200.4,1200.5,979149.3009747248,48.7584256347036,-84.15782882988785
21.059,-31.724,2011224.26129452,-3178345.357876213,1193.6,1193.7,979139.7264906114,46.2272299262695,-84.44732944030233
21.061,-31.316,2011415.269819264,-3132858.0821670718,1106.2,1106.3,979112.1556653637,24.546580576570705,-97.30957260109577
21.061,-31.507,2011415.269819264,-3154127.404463092,1124.7,1124.8,979130.7058401158,33.454436332918704,-90.25064278780405
21.08,-31.686,2013229.8508043345,-3174100.3034817125,1219.7,1219.8,979129.5799513216,47.201994190574624,-87.80657624278675
21.087,-31.958,2013898.3806409396,-3204524.8203019975,1206.3,1206.4,979158.589126074,50.05853446701076,-82.88490272908444
21.093,-31.765,2014471.406215172,-3182927.519599194,1212.8,1212.9,979137.9264914648,47.03556225635111,-86.69954142899098
21.095,-31.44,2014662.4147399163,-3146661.4571390105,1104.9,1105.0,979122.7952222466,24.82597367197741,-98.4057191360833
21.112,-31.022,2016285.9872002425,-3100203.8118608035,1266.8,1266.9,979045.4893016794,30.946494835079648,-109.09251631442615
21.116,-31.913,2016668.004249731,-3199485.095477111,1198.2,1198.3,979155.6771194106,48.29785684053786,-84.23657511861126
21.121,-31.34,2017145.5255615916,-3135528.268251048,1074.3,1074.4,979118.3462306166,18.97008889762219,-100.78080144531896
21.127,-31.27,2017718.5511358245,-3127742.1452065296,1085.4,1085.5,979106.825825936,16.488702705712058,-103.68522410929964
21.132,-31.645,2018196.0724476848,-3169522.0807526475,1161.3,1161.4,979135.3253418223,38.24175076489337,-88.02043382980376
21.145,-31.862,2019437.6278585228,-3193776.4150179843,1244.3,1244.4,979140.5740801208,51.549019364174455,-86.7423691550047
21.153,-31.411,2020201.6619574996,-3143431.5994128375,1107.9,1108.0,979115.599611894,20.88701226655394,-100.25794260974183
21.164,-31.805,2021252.2088435933,-3187399.8972360673,1254.9,1255.0,979132.3132866462,51.17330024554394,-88.35865980247092
21.18,-31.047,2022780.2770415465,-3102976.562078497,1324.3,1324.4,979038.8433660788,40.04258093610406,-105.97269456836625
21.181,-31.519,2022875.7813039192,-3155465.159326382,1106.4,1106.5,979127.6729296251,23.809884306858294,-96.59984421651018
21.19,-31.446,2023735.3196652683,-3147329.8295364897,1168.6,1168.7,979107.8693426758,29.06877580366563,-100.72610977290395
21.192,-31.097,2023926.3281900124,-3108524.2701259954,1215.6,1215.7,979064.141128634,27.8153972143773,-105.85909933149316
21.192,-31.629,2023926.3281900124,-3167736.010373599,1160.2,1160.3,979131.5002557264,35.368354619829915,-93.62535111813199
21.198,-31.341,2024499.3537642448,-3135639.5409266343,1094.8,1094.9,979111.7772874996,18.64520552405156,-103.47037829826279
21.204,-31.311,2025072.3793384777,-3132301.87990458,1094.8,1094.9,979108.4414781382,17.716585639631376,-103.39375006013836
21.208,-31.388,2025454.3963879661,-3140870.704859466,1143.6,1143.7,979108.1304940248,26.27921761397738,-101.28912935800787
21.211,-31.163,2025740.9091750823,-3115851.762393088,1150.1,1150.2,979083.136811756,21.328094692900777,-106.91522751229468
21.212,-31.246,2025836.4134374545,-3125073.960725601,1144.5,1144.6,979090.9930659408,20.81163583754096,-105.33117074047145
21.214,-31.769,2026027.421962199,-3183374.669477145,1237.0,1237.1,979131.9527724662,48.20356400846504,-88.79640546643492
21.231,-31.563,2027650.9944225252,-3160371.74573444,1237.8,1237.9,979109.9512883528,43.07946913794149,-87.54350713443998
21.238,-31.023,2028319.5242591298,-3100314.7077581794,1303.6,1303.7,979043.3804631048,40.109797538025305,-100.22032795234293
21.239,-31.952,2028415.028521502,-3203852.7130285357,1279.8,1279.9,979143.0130985674,57.64234674163163,-83.68595773930585
21.253,-31.661,2029752.0881947116,-3171308.4615293043,1176.8,1176.9,979131.099297576,37.50589069176931,-91.9066887557326
21.266,-31.376,2030993.6436055491,-3139534.8373951283,1109.6,1109.7,979111.3336713368,19.95735255687032,-102.27101289145081
21.268,-31.207,2031184.6521302937,-3120739.6208275463,1182.9,1183.0,979077.8032189966,22.59159148170147,-109.1936379065501
21.27,-31.716,2031375.6606550377,-3177451.5162540004,1229.6,1229.7,979127.635989068,45.88855895353481,-91.19428083849832
21.285,-31.992,2032808.2245906196,-3208334.265990432,1276.9,1277.0,979146.854100274,57.342244011349976,-84.42640533475515
21.295,-31.772,2033763.267214341,-3183710.044695273,1292.1,1292.2,979120.1056320472,53.11072199395858,-89.77347552537776
21.302,-31.93,2034431.7970509457,-3201388.698779913,1272.9,1273.0,979140.3261955932,54.61163300240878,-86.73198201410233
21.304,-31.499,2034622.8055756895,-3153235.6642295457,1180.3,1180.4,979111.065275026,31.610027546063066,-99.82092493942335
